Log file started Wed Mar 09 21:46:16 2011
Wed Mar 09 21:46:37 2011: Client 1: read CMD_KEY (9)
Wed Mar 09 21:46:37 2011: updateBody x 2.625124
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 4.287531
Wed Mar 09 21:46:37 2011: updateBody x 2.909834
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 4.175381
Wed Mar 09 21:46:37 2011: updateBody x 3.173494
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 4.020073
Wed Mar 09 21:46:37 2011: updateBody x 3.409614
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 3.825431
Wed Mar 09 21:46:37 2011: updateBody x 3.650032
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 3.585013
Wed Mar 09 21:46:37 2011: updateBody x 3.962577
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 3.272469
Wed Mar 09 21:46:37 2011: updateBody x 4.371288
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 2.863757
Wed Mar 09 21:46:37 2011: updateBody x 4.755958
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 2.479088
Wed Mar 09 21:46:38 2011: updateBody x 5.224774
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z 2.010272
Wed Mar 09 21:46:38 2011: updateBody x 5.645507
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z 1.589539
Wed Mar 09 21:46:38 2011: updateBody x 5.873905
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z 1.361142
Wed Mar 09 21:46:38 2011: updateBody x 6.126344
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z 1.108702
Wed Mar 09 21:46:38 2011: updateBody x 6.354742
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z 0.880305
Wed Mar 09 21:46:38 2011: updateBody x 6.571119
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z 0.663928
Wed Mar 09 21:46:38 2011: updateBody x 6.799517
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z 0.435531
Wed Mar 09 21:46:38 2011: updateBody x 7.027915
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z 0.207133
Wed Mar 09 21:46:38 2011: Client 1: read CMD_KEY (1)
Wed Mar 09 21:46:38 2011: updateBody x 7.199820
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -0.025184
Wed Mar 09 21:46:38 2011: updateBody x 7.346461
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -0.312982
Wed Mar 09 21:46:38 2011: updateBody x 7.447856
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -0.655284
Wed Mar 09 21:46:38 2011: updateBody x 7.481936
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -1.044801
Wed Mar 09 21:46:38 2011: Client 1: read CMD_KEY (5)
Wed Mar 09 21:46:38 2011: updateBody x 7.432215
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -1.449764
Wed Mar 09 21:46:38 2011: updateBody x 7.308149
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -1.820564
Wed Mar 09 21:46:38 2011: updateBody x 7.101074
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -2.172114
Wed Mar 09 21:46:38 2011: updateBody x 6.728425
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -2.544764
Wed Mar 09 21:46:38 2011: updateBody x 6.439923
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -2.833266
Wed Mar 09 21:46:38 2011: updateBody x 6.151421
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -3.121769
Wed Mar 09 21:46:38 2011: updateBody x 5.923023
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -3.350168
Wed Mar 09 21:46:38 2011: updateBody x 5.694626
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -3.578566
Wed Mar 09 21:46:38 2011: updateBody x 5.466228
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -3.806964
Wed Mar 09 21:46:38 2011: updateBody x 5.249852
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -4.023341
Wed Mar 09 21:46:38 2011: updateBody x 4.997412
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -4.275781
Wed Mar 09 21:46:38 2011: Client 1: read CMD_KEY (4)
Wed Mar 09 21:46:38 2011: updateBody x 4.765096
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -4.447687
Wed Mar 09 21:46:38 2011: updateBody x 4.460816
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -4.599396
Wed Mar 09 21:46:38 2011: updateBody x 4.100416
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -4.699345
Wed Mar 09 21:46:38 2011: updateBody x 3.437412
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -4.699345
Wed Mar 09 21:46:38 2011: updateBody x 2.859408
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -4.699345
Wed Mar 09 21:46:38 2011: updateBody x 2.400405
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -4.699345
Wed Mar 09 21:46:38 2011: Client 1: read CMD_KEY (6)
Wed Mar 09 21:46:38 2011: updateBody x 1.847659
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -4.530354
Wed Mar 09 21:46:38 2011: updateBody x 1.464875
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -4.309353
Wed Mar 09 21:46:38 2011: updateBody x 1.238700
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -4.129446
Wed Mar 09 21:46:38 2011: updateBody x 0.986263
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -3.877008
Wed Mar 09 21:46:38 2011: updateBody x 0.781909
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -3.672654
Wed Mar 09 21:46:38 2011: Client 1: read CMD_KEY (2)
Wed Mar 09 21:46:38 2011: updateBody x 0.602047
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -3.425094
Wed Mar 09 21:46:38 2011: updateBody x 0.443988
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -3.086134
Wed Mar 09 21:46:38 2011: updateBody x 0.353165
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -2.618879
Wed Mar 09 21:46:38 2011: updateBody x 0.353165
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -2.074879
Wed Mar 09 21:46:38 2011: Client 1: read CMD_KEY (10)
Wed Mar 09 21:46:38 2011: updateBody x 0.585741
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -1.435889
Wed Mar 09 21:46:38 2011: Client 1: read CMD_KEY (14)
Wed Mar 09 21:46:38 2011: updateBody x 0.878268
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
Wed Mar 09 21:46:38 2011: updateBody z -1.018122
Wed Mar 09 21:46:38 2011: updateBody x 1.226872
Wed Mar 09 21:46:38 2011: updateBody y 5.000000
